test,B,ctx,feasible,kv_tokens_needed,kv_tokens_available,kv_GiB_needed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,ms_per_token,tokens_per_s
T1,1,1024,1,1095,44336,0.12,30,6.5026,6.5002,6.5122,6.546,6.4885,6.546,0.012,6.5002,153.8
T1,2,1024,1,2190,44336,0.23,30,7.0943,7.0845,7.1297,7.1511,7.0749,7.1511,0.0197,3.5423,282.3
T1,4,1024,1,4380,44336,0.47,30,7.5769,7.5693,7.6211,7.6473,7.5465,7.6473,0.0259,1.8923,528.5
T1,8,1024,1,8760,44336,0.94,30,8.5814,8.5701,8.6248,8.6415,8.5449,8.6415,0.0264,1.0713,933.5
T1,16,1024,1,17520,44336,1.87,30,10.8469,10.8157,10.9408,10.9896,10.7854,10.9896,0.0567,0.676,1479.3
T1,24,1024,1,26280,44336,2.81,30,12.8592,12.8139,13.0201,13.2288,12.7478,13.2288,0.1096,0.5339,1873.0
T1,32,1024,1,35040,44336,3.74,30,15.0411,14.9779,15.2308,15.2622,14.924,15.2622,0.1061,0.4681,2136.5
T1,1,2048,1,2119,44336,0.23,30,6.7672,6.7645,6.8057,6.8305,6.7218,6.8305,0.0261,6.7645,147.8
T1,2,2048,1,4238,44336,0.45,30,7.5061,7.5152,7.5508,7.5586,7.4471,7.5586,0.0335,3.7576,266.1
T1,4,2048,1,8476,44336,0.91,30,8.3082,8.3091,8.3504,8.3806,8.2536,8.3806,0.0311,2.0773,481.4
T1,8,2048,1,16952,44336,1.81,30,10.0044,10.0108,10.0888,10.0929,9.8889,10.0929,0.0555,1.2513,799.1
T1,16,2048,1,33904,44336,3.62,30,13.3387,13.3361,13.4433,13.4605,13.1981,13.4605,0.074,0.8335,1199.8
T1,24,2048,0,50856,44336,5.43,,,,,,,,,,
T1,32,2048,0,67808,44336,7.24,,,,,,,,,,
T1,1,4096,1,4167,44336,0.45,30,7.1542,7.1591,7.1946,7.1997,7.1084,7.1997,0.0288,7.1591,139.7
T1,2,4096,1,8334,44336,0.89,30,8.2017,8.2028,8.248,8.3369,8.149,8.3369,0.0398,4.1014,243.8
T1,4,4096,1,16668,44336,1.78,30,9.411,9.3992,9.4775,9.5059,9.3493,9.5059,0.0434,2.3498,425.6
T1,8,4096,1,33336,44336,3.56,30,12.2783,12.262,12.3531,12.7943,12.15,12.7943,0.1104,1.5328,652.4
T1,16,4096,0,66672,44336,7.12,,,,,,,,,,
T1,24,4096,0,100008,44336,10.68,,,,,,,,,,
T1,32,4096,0,133344,44336,14.24,,,,,,,,,,
T1,1,8192,1,8263,44336,0.88,30,7.8708,7.869,7.9147,7.9398,7.8134,7.9398,0.0302,7.869,127.1
T1,2,8192,1,16526,44336,1.77,30,9.539,9.5403,9.5877,9.6163,9.4815,9.6163,0.036,4.7702,209.6
T1,4,8192,1,33052,44336,3.53,30,11.6896,11.6658,11.7893,11.7963,11.6022,11.7963,0.0602,2.9165,342.9
T1,8,8192,0,66104,44336,7.06,,,,,,,,,,
T1,16,8192,0,132208,44336,14.12,,,,,,,,,,
T1,24,8192,0,198312,44336,21.18,,,,,,,,,,
T1,32,8192,0,264416,44336,28.24,,,,,,,,,,
T1,1,16384,1,16455,44336,1.76,30,9.2155,9.2212,9.2529,9.2608,9.1501,9.2608,0.0277,9.2212,108.4
T1,2,16384,1,32910,44336,3.52,30,12.0241,12.0212,12.0675,12.1257,11.9554,12.1257,0.038,6.0106,166.4
T1,4,16384,0,65820,44336,7.03,,,,,,,,,,
T1,8,16384,0,131640,44336,14.06,,,,,,,,,,
T1,16,16384,0,263280,44336,28.12,,,,,,,,,,
T1,24,16384,0,394920,44336,42.18,,,,,,,,,,
T1,32,16384,0,526560,44336,56.24,,,,,,,,,,
