test,B,ctx,feasible,kv_tokens_needed,kv_tokens_available,kv_GiB_needed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,ms_per_token,tokens_per_s
T1,1,1024,1,1078,44336,0.12,30,10.272,12.2921,12.4755,12.4923,6.7179,12.4923,2.6667,12.2921,81.4
T1,2,1024,1,2156,44336,0.23,30,7.1305,7.1254,7.1989,7.2102,7.0783,7.2102,0.0394,3.5627,280.7
T1,4,1024,1,4312,44336,0.46,30,7.6828,7.5971,7.6491,10.1869,7.5271,10.1869,0.4669,1.8993,526.5
T1,8,1024,1,8624,44336,0.92,30,8.6783,8.6854,8.7169,8.7726,8.5805,8.7726,0.0386,1.0857,921.1
T1,16,1024,1,17248,44336,1.84,30,10.9742,10.9645,11.0864,11.154,10.8573,11.154,0.0704,0.6853,1459.3
T1,24,1024,1,25872,44336,2.76,30,13.0172,12.9804,13.2458,13.4531,12.8618,13.4531,0.1377,0.5408,1848.9
T1,32,1024,1,34496,44336,3.68,30,15.1706,15.1337,15.4188,15.4599,15.0767,15.4599,0.1068,0.4729,2114.5
T1,1,2048,1,2102,44336,0.22,30,6.7892,6.7972,6.8109,6.8402,6.7282,6.8402,0.025,6.7972,147.1
T1,2,2048,1,4204,44336,0.45,30,7.5276,7.5315,7.574,7.5844,7.4552,7.5844,0.0358,3.7658,265.6
T1,4,2048,1,8408,44336,0.9,30,8.3316,8.3311,8.3687,8.4057,8.2609,8.4057,0.0323,2.0828,480.1
T1,8,2048,1,16816,44336,1.8,30,9.9909,9.9854,10.0721,10.1094,9.9201,10.1094,0.0459,1.2482,801.2
T1,16,2048,1,33632,44336,3.59,30,13.3096,13.2859,13.4596,13.5125,13.1945,13.5125,0.0832,0.8304,1204.3
T1,24,2048,0,50448,44336,5.39,,,,,,,,,,
T1,32,2048,0,67264,44336,7.18,,,,,,,,,,
T1,1,4096,1,4150,44336,0.44,30,7.1757,7.1747,7.2084,7.2329,7.1222,7.2329,0.0249,7.1747,139.4
T1,2,4096,1,8300,44336,0.89,30,11.2195,8.2324,15.8893,15.9365,8.1478,15.9365,3.4927,4.1162,242.9
T1,4,4096,1,16600,44336,1.77,30,9.4207,9.43,9.4926,9.5124,9.3397,9.5124,0.0459,2.3575,424.2
T1,8,4096,1,33200,44336,3.55,30,12.2762,12.265,12.3678,12.3802,12.1808,12.3802,0.0601,1.5331,652.3
T1,16,4096,0,66400,44336,7.09,,,,,,,,,,
T1,24,4096,0,99600,44336,10.64,,,,,,,,,,
T1,32,4096,0,132800,44336,14.18,,,,,,,,,,
T1,1,8192,1,8246,44336,0.88,30,7.8868,7.8855,7.9269,7.967,7.8261,7.967,0.0363,7.8855,126.8
T1,2,8192,1,16492,44336,1.76,30,9.571,9.5735,9.629,9.6615,9.4937,9.6615,0.0474,4.7867,208.9
T1,4,8192,1,32984,44336,3.52,30,11.6968,11.6875,11.8009,11.8379,11.6077,11.8379,0.0522,2.9219,342.2
T1,8,8192,0,65968,44336,7.05,,,,,,,,,,
T1,16,8192,0,131936,44336,14.09,,,,,,,,,,
T1,24,8192,0,197904,44336,21.14,,,,,,,,,,
T1,32,8192,0,263872,44336,28.18,,,,,,,,,,
T1,1,16384,1,16438,44336,1.76,30,9.2214,9.2261,9.2689,9.2722,9.1775,9.2722,0.0301,9.2261,108.4
T1,2,16384,1,32876,44336,3.51,30,11.9938,11.9934,12.0495,12.0806,11.9234,12.0806,0.0429,5.9967,166.8
T1,4,16384,0,65752,44336,7.02,,,,,,,,,,
T1,8,16384,0,131504,44336,14.05,,,,,,,,,,
T1,16,16384,0,263008,44336,28.09,,,,,,,,,,
T1,24,16384,0,394512,44336,42.14,,,,,,,,,,
T1,32,16384,0,526016,44336,56.18,,,,,,,,,,
