test,B,ctx,feasible,kv_tokens_needed,kv_tokens_available,kv_GiB_needed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,ms_per_token,tokens_per_s
T1,1,1024,1,1078,44336,0.12,30,6.3716,6.3724,6.3888,6.3995,6.3498,6.3995,0.0106,6.3724,156.9
T1,2,1024,1,2156,44336,0.23,30,10.567,11.5356,11.6266,12.0024,7.0173,12.0024,1.834,5.7678,173.4
T1,4,1024,1,4312,44336,0.46,30,7.4725,7.4674,7.5147,7.5604,7.4243,7.5604,0.0332,1.8668,535.7
T1,8,1024,1,8624,44336,0.92,30,8.5211,8.5154,8.5961,8.6146,8.4383,8.6146,0.0503,1.0644,939.5
T1,16,1024,1,17248,44336,1.84,30,10.791,10.7684,10.9661,11.0565,10.6812,11.0565,0.0924,0.673,1485.8
T1,24,1024,1,25872,44336,2.76,30,16.5572,12.9516,25.0665,25.1086,12.7054,25.1086,5.3246,0.5396,1853.1
T1,32,1024,1,34496,44336,3.68,30,15.0144,14.9852,15.2132,15.4214,14.8143,15.4214,0.1314,0.4683,2135.4
T1,1,2048,1,2102,44336,0.22,30,6.6704,6.6541,6.7293,6.9573,6.6178,6.9573,0.0626,6.6541,150.3
T1,2,2048,1,4204,44336,0.45,30,11.0515,10.1952,15.2545,15.838,7.3544,15.838,3.6882,5.0976,196.2
T1,4,2048,1,8408,44336,0.9,30,8.1892,8.1829,8.2502,8.2874,8.1111,8.2874,0.0482,2.0457,488.8
T1,8,2048,1,16816,44336,1.8,30,9.8817,9.8821,9.9498,10.0023,9.7815,10.0023,0.0602,1.2353,809.5
T1,16,2048,1,33632,44336,3.59,30,13.1297,13.1057,13.2761,13.3456,12.9976,13.3456,0.0958,0.8191,1220.8
T1,24,2048,0,50448,44336,5.39,,,,,,,,,,
T1,32,2048,0,67264,44336,7.18,,,,,,,,,,
T1,1,4096,1,4150,44336,0.44,30,7.045,7.047,7.0762,7.1029,6.9942,7.1029,0.0239,7.047,141.9
T1,2,4096,1,8300,44336,0.89,30,8.0648,8.0664,8.0975,8.1218,8.0038,8.1218,0.0287,4.0332,247.9
T1,4,4096,1,16600,44336,1.77,30,9.279,9.2805,9.3245,9.3477,9.2228,9.3477,0.0312,2.3201,431.0
T1,8,4096,1,33200,44336,3.55,30,16.4111,12.1899,22.6009,24.7858,12.0597,24.7858,5.0845,1.5237,656.3
T1,16,4096,0,66400,44336,7.09,,,,,,,,,,
T1,24,4096,0,99600,44336,10.64,,,,,,,,,,
T1,32,4096,0,132800,44336,14.18,,,,,,,,,,
T1,1,8192,1,8246,44336,0.88,30,7.743,7.7382,7.7716,7.8308,7.7057,7.8308,0.0271,7.7382,129.2
T1,2,8192,1,16492,44336,1.76,30,9.449,9.4501,9.5017,9.5293,9.369,9.5293,0.0364,4.7251,211.6
T1,4,8192,1,32984,44336,3.52,30,12.1627,11.5656,11.6384,24.3964,11.4783,24.3964,2.4522,2.8914,345.9
T1,8,8192,0,65968,44336,7.05,,,,,,,,,,
T1,16,8192,0,131936,44336,14.09,,,,,,,,,,
T1,24,8192,0,197904,44336,21.14,,,,,,,,,,
T1,32,8192,0,263872,44336,28.18,,,,,,,,,,
T1,1,16384,1,16438,44336,1.76,30,9.1205,9.1174,9.1735,9.1832,9.061,9.1832,0.0335,9.1174,109.7
T1,2,16384,1,32876,44336,3.51,30,11.8975,11.8967,11.9413,11.9893,11.8389,11.9893,0.034,5.9483,168.1
T1,4,16384,0,65752,44336,7.02,,,,,,,,,,
T1,8,16384,0,131504,44336,14.05,,,,,,,,,,
T1,16,16384,0,263008,44336,28.09,,,,,,,,,,
T1,24,16384,0,394512,44336,42.14,,,,,,,,,,
T1,32,16384,0,526016,44336,56.18,,,,,,,,,,
