test,B,ctx,feasible,kv_tokens_needed,kv_tokens_available,kv_GiB_needed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,ms_per_token,tokens_per_s
T1,1,1024,1,1078,44336,0.12,30,6.5169,6.5063,6.538,7.1165,6.3788,7.1165,0.1195,6.5063,153.7
T1,2,1024,1,2156,44336,0.23,30,7.0239,7.024,7.0665,7.127,6.9788,7.127,0.0315,3.512,284.7
T1,4,1024,1,4312,44336,0.46,30,7.5169,7.5,7.5563,7.9407,7.4229,7.9407,0.0873,1.875,533.3
T1,8,1024,1,8624,44336,0.92,30,8.4993,8.4889,8.5718,8.6237,8.4069,8.6237,0.0515,1.0611,942.4
T1,16,1024,1,17248,44336,1.84,30,10.7835,10.7694,10.9175,11.0035,10.6615,11.0035,0.0867,0.6731,1485.7
T1,32,1024,1,34496,44336,3.68,30,14.9998,14.9317,15.2254,16.1697,14.7719,16.1697,0.2446,0.4666,2143.1
T1,1,4096,1,4150,44336,0.44,30,10.0151,7.2572,14.4086,15.8639,7.1635,15.8639,3.4417,7.2572,137.8
T1,2,4096,1,8300,44336,0.89,30,8.0553,8.0633,8.0979,8.1067,7.9857,8.1067,0.0295,4.0316,248.0
T1,4,4096,1,16600,44336,1.77,30,9.2267,9.224,9.2898,9.3191,9.1644,9.3191,0.0444,2.306,433.7
T1,8,4096,1,33200,44336,3.55,30,12.1103,12.048,12.1681,13.483,11.8999,13.483,0.2859,1.506,664.0
T1,16,4096,0,66400,44336,7.09,,,,,,,,,,
T1,32,4096,0,132800,44336,14.18,,,,,,,,,,
T1,1,8192,1,8246,44336,0.88,30,17.4181,17.4446,17.7615,18.0182,16.888,18.0182,0.2876,17.4446,57.3
T1,2,8192,1,16492,44336,1.76,30,19.2025,19.151,19.6626,19.7369,18.4944,19.7369,0.2897,9.5755,104.4
T1,4,8192,1,32984,44336,3.52,30,19.204,19.1903,19.8794,20.3473,18.5142,20.3473,0.4287,4.7976,208.4
T1,8,8192,0,65968,44336,7.05,,,,,,,,,,
T1,16,8192,0,131936,44336,14.09,,,,,,,,,,
T1,32,8192,0,263872,44336,28.18,,,,,,,,,,
T1,1,16384,1,16438,44336,1.76,30,17.2802,17.1844,17.7378,17.9538,16.8795,17.9538,0.3016,17.1844,58.2
T1,2,16384,1,32876,44336,3.51,30,18.6335,18.6144,18.9393,19.2176,18.3163,19.2176,0.2357,9.3072,107.4
T1,4,16384,0,65752,44336,7.02,,,,,,,,,,
T1,8,16384,0,131504,44336,14.05,,,,,,,,,,
T1,16,16384,0,263008,44336,28.09,,,,,,,,,,
T1,32,16384,0,526016,44336,56.18,,,,,,,,,,
