test,model,B,ctx,feasible,kv_GiB_needed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,ms_per_token
T1,smoke,1,1024,1,0.11,10,45.9111,45.2385,50.4578,50.4578,45.0886,50.4578,1.5832,45.2385
T1,smoke,2,1024,1,0.22,10,46.9358,46.1176,49.0482,49.0482,45.9011,49.0482,1.3388,23.0588
T1,smoke,4,1024,1,0.45,10,46.7988,46.1912,49.0903,49.0903,45.9476,49.0903,1.1735,11.5478
T1,smoke,8,1024,1,0.89,10,46.1591,46.094,46.7251,46.7251,45.9728,46.7251,0.1963,5.7618
T1,smoke,16,1024,0,1.79,,,,,,,,,
T1,smoke,32,1024,0,3.57,,,,,,,,,
T1,smoke,1,4096,1,0.44,10,45.3186,45.2871,45.5267,45.5267,45.1936,45.5267,0.1117,45.2871
T1,smoke,2,4096,1,0.88,10,46.4075,46.3822,46.7408,46.7408,46.1662,46.7408,0.2006,23.1911
T1,smoke,4,4096,1,1.76,10,35.7883,35.7991,36.3284,36.3284,35.2631,36.3284,0.2915,8.9498
T1,smoke,8,4096,0,3.52,,,,,,,,,
T1,smoke,16,4096,0,7.04,,,,,,,,,
T1,smoke,32,4096,0,14.07,,,,,,,,,
T1,smoke,1,8192,1,0.88,10,35.7834,35.8984,37.4304,37.4304,34.6892,37.4304,0.819,35.8984
T1,smoke,2,8192,1,1.75,10,35.9224,35.7808,37.0861,37.0861,35.3356,37.0861,0.5129,17.8904
T1,smoke,4,8192,0,3.51,,,,,,,,,
T1,smoke,8,8192,0,7.02,,,,,,,,,
T1,smoke,16,8192,0,14.04,,,,,,,,,
T1,smoke,32,8192,0,28.07,,,,,,,,,
T1,smoke,1,16384,0,1.75,,,,,,,,,
T1,smoke,2,16384,0,3.5,,,,,,,,,
T1,smoke,4,16384,0,7.01,,,,,,,,,
T1,smoke,8,16384,0,14.02,,,,,,,,,
T1,smoke,16,16384,0,28.04,,,,,,,,,
T1,smoke,32,16384,0,56.07,,,,,,,,,
