test,B,ctx,feasible,kv_tokens_needed,kv_tokens_available,kv_GiB_needed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,ms_per_token,tokens_per_s
T1,1,1024,1,1056,39920,0.11,12,6.4259,6.4172,6.4726,6.542,6.3778,6.542,0.0421,6.4172,155.8
T1,2,1024,1,2112,39920,0.23,12,7.0311,7.0221,7.0842,7.0933,6.9752,7.0933,0.036,3.5111,284.8
T1,4,1024,1,4224,39920,0.45,12,7.4923,7.4909,7.5181,7.5237,7.4586,7.5237,0.0185,1.8727,534.0
T1,8,1024,1,8448,39920,0.9,12,8.5763,8.5296,8.756,8.9281,8.4499,8.9281,0.1328,1.0662,937.9
T1,16,1024,1,16896,39920,1.8,12,10.7214,10.7051,10.862,10.944,10.6118,10.944,0.1003,0.6691,1494.6
T1,32,1024,1,33792,39920,3.61,12,14.806,14.7501,15.1141,15.1166,14.6822,15.1166,0.1476,0.4609,2169.5
T1,1,4096,1,4128,39920,0.44,12,6.9947,6.9883,7.0301,7.0352,6.9578,7.0352,0.0232,6.9883,143.1
T1,2,4096,1,8256,39920,0.88,12,8.0804,8.0642,8.1973,8.2046,7.9882,8.2046,0.0705,4.0321,248.0
T1,4,4096,1,16512,39920,1.76,12,9.238,9.2327,9.2863,9.3051,9.1988,9.3051,0.0347,2.3082,433.2
T1,8,4096,1,33024,39920,3.53,12,12.0055,11.9866,12.0741,12.0825,11.9488,12.0825,0.0501,1.4983,667.4
T1,16,4096,0,66048,39920,7.05,,,,,,,,,,
T1,32,4096,0,132096,39920,14.11,,,,,,,,,,
T1,1,8192,0,8224,39920,0.88,,,,,,,,,,
T1,2,8192,0,16448,39920,1.76,,,,,,,,,,
T1,4,8192,0,32896,39920,3.51,,,,,,,,,,
T1,8,8192,0,65792,39920,7.03,,,,,,,,,,
T1,16,8192,0,131584,39920,14.05,,,,,,,,,,
T1,32,8192,0,263168,39920,28.11,,,,,,,,,,
T1,1,16384,0,16416,39920,1.75,,,,,,,,,,
T1,2,16384,0,32832,39920,3.51,,,,,,,,,,
T1,4,16384,0,65664,39920,7.01,,,,,,,,,,
T1,8,16384,0,131328,39920,14.03,,,,,,,,,,
T1,16,16384,0,262656,39920,28.05,,,,,,,,,,
T1,32,16384,0,525312,39920,56.11,,,,,,,,,,
