test,L,ctx,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,ms_per_token,tokens_per_s
T2,8,0,15,24.0973,24.0917,24.1884,24.2093,24.024,24.2093,0.0508,3.0115,332
T2,16,0,15,24.3906,23.8841,25.3975,30.2298,23.3143,30.2298,1.6645,1.4928,670
T2,32,0,15,23.2638,23.2406,23.3656,23.5744,23.1365,23.5744,0.0998,0.7263,1377
T2,64,0,15,23.667,23.685,23.85,23.8811,23.4877,23.8811,0.1137,0.3701,2702
T2,128,0,15,23.7772,23.7006,24.0051,24.5216,23.4893,24.5216,0.2581,0.1852,5401
T2,256,0,15,25.7465,25.723,25.8225,25.8843,25.6717,25.8843,0.0571,0.1005,9952
T2,512,0,15,40.4098,40.4635,40.5049,40.5929,40.1046,40.5929,0.1211,0.079,12653
T2,1024,0,15,65.7212,65.7071,65.9165,66.0585,65.5274,66.0585,0.1333,0.0642,15584
T2,2048,0,15,135.3647,122.2061,209.7277,231.3461,121.061,231.3461,33.6489,0.0597,16759
T2,4096,0,15,268.0927,254.9232,331.1826,379.8696,253.2815,379.8696,35.4393,0.0622,16068
T2,8192,0,15,588.9831,576.4253,673.1489,676.8749,573.351,676.8749,33.7884,0.0704,14212
T2,8,1024,15,26.3183,24.4756,31.3108,31.8265,24.2203,31.8265,3.0526,3.0595,327
T2,16,1024,15,24.3566,24.3402,24.5279,24.5417,24.1379,24.5417,0.1152,1.5213,657
T2,32,1024,15,24.3874,24.3759,24.6989,24.7755,23.9671,24.7755,0.2166,0.7617,1313
T2,64,1024,15,24.6329,24.5251,24.879,25.3877,24.3877,25.3877,0.2376,0.3832,2610
T2,128,1024,15,24.6365,24.6692,24.7891,24.8111,24.4055,24.8111,0.1288,0.1927,5189
T2,256,1024,15,27.9154,27.9491,28.0417,28.0688,27.7255,28.0688,0.1047,0.1092,9160
T2,512,1024,15,44.0552,44.0691,44.17,44.2145,43.9313,44.2145,0.0802,0.0861,11618
T2,1024,1024,15,72.3317,72.153,73.556,74.4426,71.7471,74.4426,0.7316,0.0705,14192
T2,2048,1024,15,135.2796,132.8475,133.5348,170.6042,132.2762,170.6042,9.447,0.0649,15416
T2,4096,1024,15,289.7849,276.0223,276.2904,487.6825,274.4813,487.6825,52.8939,0.0674,14839
T2,8192,1024,15,629.7857,616.8687,640.7027,792.9931,614.5627,792.9931,44.0559,0.0753,13280
T2,8,4096,15,26.5196,26.5299,26.7441,26.8771,26.2622,26.8771,0.1558,3.3162,302
T2,16,4096,15,26.5694,26.4964,26.9382,27.3571,26.26,27.3571,0.2786,1.656,604
T2,32,4096,15,26.3638,26.3679,26.5957,26.596,26.148,26.596,0.1472,0.824,1214
T2,64,4096,15,26.6982,26.6287,26.9854,26.9964,26.468,26.9964,0.154,0.4161,2403
T2,128,4096,15,26.9335,26.8714,27.2948,27.3031,26.6965,27.3031,0.2101,0.2099,4763
T2,256,4096,15,33.8294,33.8873,34.0916,34.0977,33.4521,34.0977,0.1864,0.1324,7554
T2,512,4096,15,53.6573,53.6591,53.8231,53.919,53.3908,53.919,0.1387,0.1048,9542
T2,1024,4096,15,91.7624,90.8455,95.8946,100.5031,89.4849,100.5031,2.7424,0.0887,11272
T2,2048,4096,15,161.802,161.8093,162.3094,162.5627,161.3731,162.5627,0.3445,0.079,12657
T2,4096,4096,15,331.9069,331.7974,332.6471,332.8589,330.8142,332.8589,0.6004,0.081,12345
T2,8192,4096,15,753.6208,726.9204,913.5618,938.3321,724.6241,938.3321,67.7974,0.0887,11269
T2,8,16384,15,42.6084,42.5328,43.0383,43.0419,42.1802,43.0419,0.279,5.3166,188
T2,16,16384,15,59.232,42.8563,44.2142,287.0468,42.7213,287.0468,60.8871,2.6785,373
T2,32,16384,15,43.6348,43.468,43.6522,45.8965,43.2639,45.8965,0.6126,1.3584,736
T2,64,16384,15,43.472,43.3938,43.7448,43.9713,43.1764,43.9713,0.2224,0.678,1475
T2,128,16384,15,45.843,45.7139,46.2227,46.4506,45.5109,46.4506,0.2787,0.3571,2800
T2,256,16384,15,55.6023,55.4095,55.618,58.2312,55.0749,58.2312,0.7137,0.2164,4620
T2,512,16384,15,89.7199,89.7084,89.9833,89.9949,89.4127,89.9949,0.1776,0.1752,5707
