test,L,ctx,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,ms_per_token,tokens_per_s
T2,64,0,15,24.8304,24.8506,24.9148,25.3124,24.5965,25.3124,0.1755,0.3883,2575
T2,128,0,15,24.6739,24.653,24.7598,24.8225,24.5845,24.8225,0.0629,0.1926,5192
T2,256,0,15,25.9822,25.7525,26.9931,27.6137,25.6901,27.6137,0.5409,0.1006,9941
T2,512,0,15,40.4306,40.4165,40.5759,40.6505,40.3223,40.6505,0.0899,0.0789,12668
T2,1024,0,15,65.6897,65.6777,65.9056,65.9739,65.4612,65.9739,0.1347,0.0641,15591
T2,2048,0,15,121.9882,122.1018,122.245,122.4895,121.309,122.4895,0.3163,0.0596,16773
T2,4096,0,15,273.7575,255.1058,284.6379,479.5894,253.6006,479.5894,55.7871,0.0623,16056
T2,8192,0,15,574.5978,574.0002,577.2701,577.3424,570.7807,577.3424,1.9554,0.0701,14272
T2,64,1024,15,24.9154,24.9696,25.2613,25.2674,24.5342,25.2674,0.2263,0.3901,2563
T2,128,1024,15,24.9573,24.9831,25.1347,25.1684,24.7417,25.1684,0.1348,0.1952,5123
T2,256,1024,15,27.9069,27.9119,28.1277,28.1602,27.715,28.1602,0.1408,0.109,9172
T2,512,1024,15,43.918,43.8793,44.086,44.2187,43.7428,44.2187,0.1286,0.0857,11668
T2,1024,1024,15,71.6526,71.6486,71.8757,72.3091,71.2902,72.3091,0.2306,0.07,14292
T2,2048,1024,15,132.6033,132.4886,133.072,133.886,132.0471,133.886,0.4458,0.0647,15458
T2,4096,1024,15,293.469,275.1794,337.6822,460.0213,273.1951,460.0213,47.6034,0.0672,14885
T2,8192,1024,15,614.2668,613.6365,616.2931,616.3015,612.3774,616.3015,1.3281,0.0749,13350
T2,64,4096,15,27.0055,26.9562,27.4847,27.5746,26.6304,27.5746,0.2593,0.4212,2374
T2,128,4096,15,27.243,27.2601,27.4018,27.4293,26.9521,27.4293,0.128,0.213,4696
T2,256,4096,15,33.7123,33.6726,33.9347,33.9879,33.4526,33.9879,0.1653,0.1315,7603
T2,512,4096,15,53.4525,53.4449,53.5924,53.6265,53.2285,53.6265,0.1106,0.1044,9580
T2,1024,4096,15,107.1712,92.1381,171.92,171.9502,88.536,171.9502,28.5048,0.09,11114
T2,2048,4096,15,161.6293,161.3249,162.8335,163.7718,160.5118,163.7718,0.8341,0.0788,12695
T2,4096,4096,15,330.8356,330.7782,332.2978,332.6551,328.9457,332.6551,1.1249,0.0808,12383
T2,8192,4096,15,742.6055,723.4071,729.8276,1005.7383,722.5313,1005.7383,70.3451,0.0883,11324
T2,64,16384,15,43.469,43.4615,43.6277,43.6327,43.2663,43.6327,0.1135,0.6791,1473
T2,128,16384,15,45.6747,45.6011,46.072,46.1962,45.4061,46.1962,0.211,0.3563,2807
T2,256,16384,15,55.3151,55.2613,55.5244,55.6584,55.0785,55.6584,0.1662,0.2159,4633
T2,512,16384,15,89.4848,89.4609,89.9058,89.937,89.183,89.937,0.2098,0.1747,5723
