test,B,ctx,p,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,base_ms,overhead_ms,overhead_pct,ms_per_prefill_token
T3,4,2048,0,15,8.312,8.3165,8.3257,8.3284,8.2934,8.3284,0.0114,8.3165,0.0,0.0,
T3,4,2048,64,15,24.4972,24.4549,24.7522,24.8134,24.2414,24.8134,0.1532,8.3165,16.1384,194.05,0.25216
T3,4,2048,128,15,24.3478,24.3328,24.5289,24.8831,24.1288,24.8831,0.1831,8.3165,16.0163,192.58,0.12513
T3,4,2048,256,15,24.153,24.0975,24.3417,24.5463,23.9173,24.5463,0.1456,8.3165,15.781,189.76,0.06164
T3,4,2048,512,15,26.4364,26.4027,26.5453,26.6284,26.266,26.6284,0.0985,8.3165,18.0862,217.47,0.03532
T3,4,2048,1024,15,44.1885,36.2787,70.7302,71.7127,36.0277,71.7127,13.9258,8.3165,27.9622,336.23,0.02731
T3,4,2048,2048,15,116.8772,116.8522,117.2223,117.2522,116.4407,117.2522,0.2614,8.3165,108.5357,1305.06,0.053
T3,8,2048,0,15,10.0018,10.0041,10.0442,10.0711,9.9533,10.0711,0.0365,10.0041,0.0,0.0,
T3,8,2048,64,15,25.5177,25.6732,26.1543,26.3595,24.3466,26.3595,0.6045,10.0041,15.6691,156.63,0.24483
T3,8,2048,128,15,25.5907,25.7065,26.2992,26.6027,24.5694,26.6027,0.555,10.0041,15.7024,156.96,0.12267
T3,8,2048,256,15,25.5463,25.7705,26.1507,26.2421,24.4276,26.2421,0.6318,10.0041,15.7664,157.6,0.06159
T3,8,2048,512,15,26.2491,26.1911,26.8078,26.9957,25.7934,26.9957,0.3285,10.0041,16.187,161.8,0.03162
T3,8,2048,1024,15,55.1563,64.0558,76.8016,77.0823,38.6321,77.0823,15.3235,10.0041,54.0517,540.3,0.05278
T3,8,2048,2048,15,119.6447,119.6364,120.0707,120.2976,119.2432,120.2976,0.3117,10.0041,109.6323,1095.87,0.05353
T3,16,2048,0,15,13.336,13.3037,13.4205,13.4785,13.258,13.4785,0.0702,13.3037,0.0,0.0,
T3,16,2048,64,15,25.9689,26.1102,26.3812,26.5842,25.0981,26.5842,0.4215,13.3037,12.8065,96.26,0.2001
T3,16,2048,128,15,26.0221,26.1876,26.4944,26.5202,25.2613,26.5202,0.426,13.3037,12.8839,96.84,0.10066
T3,16,2048,256,15,26.3716,26.2993,27.5316,28.7932,25.2069,28.7932,0.9184,13.3037,12.9956,97.68,0.05076
T3,16,2048,512,15,28.2752,28.3166,29.1234,29.2754,26.9918,29.2754,0.7632,13.3037,15.0129,112.85,0.02932
T3,16,2048,1024,15,74.9687,71.1119,100.9626,139.3433,43.5162,139.3433,21.078,13.3037,57.8082,434.53,0.05645
T3,16,2048,2048,15,131.7111,123.6945,124.4407,244.0405,123.1696,244.0405,30.0235,13.3037,110.3908,829.78,0.0539
T3,4,4096,0,15,9.432,9.4271,9.4776,9.4834,9.4024,9.4834,0.0236,9.4271,0.0,0.0,
T3,4,4096,64,15,24.9809,24.699,25.7866,26.1328,24.1896,26.1328,0.6403,9.4271,15.2719,162.0,0.23862
T3,4,4096,128,15,25.1469,24.9579,26.0407,26.12,24.1959,26.12,0.5968,9.4271,15.5308,164.75,0.12133
T3,4,4096,256,15,24.7024,24.5227,25.6172,25.7465,24.2443,25.7465,0.4933,9.4271,15.0956,160.13,0.05897
T3,4,4096,512,15,28.2834,28.1763,28.9035,29.1527,27.9965,29.1527,0.3361,9.4271,18.7492,198.89,0.03662
T3,4,4096,1024,15,41.6633,38.2471,55.3976,67.9185,37.9205,67.9185,8.2432,9.4271,28.82,305.71,0.02814
T3,4,4096,2048,15,119.6316,119.4502,120.2994,121.2262,118.9409,121.2262,0.5737,9.4271,110.0231,1167.09,0.05372
T3,8,4096,0,15,12.3618,12.3505,12.4203,12.4456,12.2852,12.4456,0.0431,12.3505,0.0,0.0,
T3,8,4096,64,15,25.413,25.1626,26.0942,27.27,24.6835,27.27,0.7068,12.3505,12.8121,103.74,0.20019
T3,8,4096,128,15,25.2848,25.1165,25.7997,26.3943,24.6726,26.3943,0.4197,12.3505,12.766,103.36,0.09973
T3,8,4096,256,15,25.4385,25.082,26.5372,27.3078,24.7416,27.3078,0.7117,12.3505,12.7315,103.08,0.04973
T3,8,4096,512,15,40.6058,40.3351,41.7793,42.0949,40.1203,42.0949,0.586,12.3505,27.9846,226.59,0.05466
T3,8,4096,1024,15,69.7295,69.5092,70.5774,70.7451,69.0817,70.7451,0.498,12.3505,57.1587,462.8,0.05582
T3,8,4096,2048,15,123.7284,123.2986,123.9081,130.527,122.6667,130.527,1.8582,12.3505,110.9481,898.33,0.05417
T3,4,8192,0,15,11.7696,11.7534,11.8244,11.8518,11.7111,11.8518,0.0428,11.7534,0.0,0.0,
T3,4,8192,64,15,24.8816,24.8158,25.4132,25.5381,24.4214,25.5381,0.3284,11.7534,13.0624,111.14,0.2041
T3,4,8192,128,15,24.8926,24.6739,25.2975,26.9586,24.4925,26.9586,0.5938,11.7534,12.9205,109.93,0.10094
T3,4,8192,256,15,24.9639,24.791,25.494,27.124,24.4698,27.124,0.6342,11.7534,13.0376,110.93,0.05093
