test,B,ctx,p,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,base_ms,overhead_ms,overhead_pct,ms_per_prefill_token
T3,4,2048,0,15,8.175,8.1715,8.1981,8.2089,8.1529,8.2089,0.0173,8.1715,0.0,0.0,
T3,4,2048,64,15,21.1373,21.1894,22.0827,22.7074,20.3089,22.7074,0.7116,8.1715,13.0179,159.31,0.2034
T3,4,2048,128,15,20.6957,20.5688,21.0222,21.5241,20.3612,21.5241,0.2926,8.1715,12.3973,151.71,0.09685
T3,4,2048,256,15,20.5579,20.4729,20.984,21.1288,20.2309,21.1288,0.2603,8.1715,12.3014,150.54,0.04805
T3,4,2048,512,15,26.2381,26.1613,26.53,26.6354,25.958,26.6354,0.1827,8.1715,17.9898,220.15,0.03514
T3,4,2048,1024,15,36.0141,36.0088,36.3223,36.5448,35.6161,36.5448,0.2154,8.1715,27.8373,340.66,0.02718
T3,4,2048,2048,15,94.5536,85.4173,135.857,136.6498,68.6323,136.6498,26.4634,8.1715,77.2458,945.31,0.03772
T3,8,2048,0,15,9.9139,9.9218,9.9619,9.9867,9.8566,9.9867,0.036,9.9218,0.0,0.0,
T3,8,2048,64,15,21.7977,21.8061,22.1022,23.404,20.9758,23.404,0.5249,9.9218,11.8843,119.78,0.18569
T3,8,2048,128,15,21.7865,21.7586,22.2433,22.6436,21.0056,22.6436,0.4152,9.9218,11.8368,119.3,0.09248
T3,8,2048,256,15,21.8827,22.0348,22.2947,22.3654,20.9556,22.3654,0.4488,9.9218,12.113,122.08,0.04732
T3,8,2048,512,15,23.2162,22.4448,24.8649,25.3154,22.0389,25.3154,1.2185,9.9218,12.523,126.22,0.02446
T3,8,2048,1024,15,32.3844,38.3888,38.923,39.3133,22.3704,39.3133,7.6941,9.9218,28.467,286.91,0.0278
T3,8,2048,2048,15,113.8058,119.3159,121.788,123.4545,70.674,123.4545,15.7343,9.9218,109.3941,1102.56,0.05342
T3,16,2048,0,15,13.1615,13.1422,13.2485,13.2691,13.057,13.2691,0.0665,13.1422,0.0,0.0,
T3,16,2048,64,15,22.4413,22.4297,23.2468,23.2772,21.7618,23.2772,0.3919,13.1422,9.2875,70.67,0.14512
T3,16,2048,128,15,22.2605,22.4054,22.7432,22.7934,21.43,22.7934,0.4067,13.1422,9.2632,70.48,0.07237
T3,16,2048,256,15,22.5516,22.5558,23.133,23.2499,21.8704,23.2499,0.4274,13.1422,9.4136,71.63,0.03677
T3,16,2048,512,15,25.8508,27.7853,28.298,28.6131,23.0461,28.6131,2.3631,13.1422,14.6431,111.42,0.0286
T3,16,2048,1024,15,39.7923,41.92,43.2595,44.0214,23.123,44.0214,6.5323,13.1422,28.7778,218.97,0.0281
T3,16,2048,2048,15,124.0733,123.6319,126.499,126.7743,123.143,126.7743,1.1093,13.1422,110.4897,840.72,0.05395
T3,4,4096,0,15,9.3213,9.3165,9.3739,9.3769,9.2688,9.3769,0.0388,9.3165,0.0,0.0,
T3,4,4096,64,15,21.2817,21.1586,22.1278,22.9543,20.6577,22.9543,0.573,9.3165,11.8421,127.11,0.18503
T3,4,4096,128,15,21.2044,20.9967,21.957,22.4051,20.5314,22.4051,0.5454,9.3165,11.6802,125.37,0.09125
T3,4,4096,256,15,21.193,20.9023,22.1899,22.2445,20.5299,22.2445,0.5728,9.3165,11.5858,124.36,0.04526
T3,4,4096,512,15,27.6969,27.841,28.8544,28.9069,22.1611,28.9069,1.5363,9.3165,18.5245,198.84,0.03618
T3,4,4096,1024,15,38.2129,38.1328,39.1319,39.1904,37.6059,39.1904,0.5009,9.3165,28.8163,309.3,0.02814
T3,4,4096,2048,15,108.2179,119.106,120.789,123.8473,70.9665,123.8473,19.7188,9.3165,109.7895,1178.44,0.05361
T3,8,4096,0,15,12.2009,12.2069,12.2325,12.2708,12.1382,12.2708,0.0333,12.2069,0.0,0.0,
T3,8,4096,64,15,21.6206,21.3887,22.2,23.1767,20.9959,23.1767,0.5276,12.2069,9.1818,75.22,0.14347
T3,8,4096,128,15,22.0519,21.5992,23.3566,23.4855,21.2292,23.4855,0.7933,12.2069,9.3923,76.94,0.07338
T3,8,4096,256,15,21.8678,21.6142,22.763,23.9037,21.184,23.9037,0.7074,12.2069,9.4073,77.07,0.03675
T3,8,4096,512,15,32.5117,28.8765,40.0839,41.7985,27.3786,41.7985,5.7604,12.2069,16.6696,136.56,0.03256
T3,8,4096,1024,15,69.6525,69.3638,70.5512,70.9862,68.9857,70.9862,0.5995,12.2069,57.1569,468.23,0.05582
T3,8,4096,2048,15,123.6676,123.4803,124.3591,125.7992,122.8889,125.7992,0.7434,12.2069,111.2734,911.56,0.05433
