test,L,k,ctx,chunk,steps_observed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,base_k1_ms,penalty_pct,penalty_ms
T4,2048,1,4096,2048,2.0,8,157.9369,157.2204,160.2124,160.2124,157.0713,160.2124,1.1239,157.2204,0.0,0.0
T4,2048,2,4096,1024,3.0,8,170.1038,169.5698,173.845,173.845,169.0278,173.845,1.4724,157.2204,7.85,12.349
T4,2048,4,4096,512,5.0,8,189.2575,188.7271,191.5222,191.5222,188.297,191.5222,1.0867,157.2204,20.04,31.507
T4,2048,8,4096,256,9.0,8,207.9917,207.9218,209.3067,209.3067,207.2903,209.3067,0.5989,157.2204,32.25,50.701
T4,2048,16,4096,128,17.0,8,348.0375,347.3189,354.3975,354.3975,343.3164,354.3975,3.5359,157.2204,120.91,190.098
T4,2048,32,4096,64,33.0,8,701.0676,683.4261,813.2672,813.2672,679.6977,813.2672,42.8151,157.2204,334.69,526.206
T4,2048,1,16384,2048,2.0,8,270.42,270.513,272.6295,272.6295,268.1756,272.6295,1.5084,270.513,0.0,0.0
T4,2048,2,16384,1024,3.0,8,294.4835,294.4911,295.3135,295.3135,293.3765,295.3135,0.6744,270.513,8.86,23.978
T4,2048,4,16384,512,5.0,8,314.2339,314.2939,314.4075,314.4075,313.8251,314.4075,0.1668,270.513,16.18,43.781
T4,2048,8,16384,256,9.0,8,350.3243,335.7575,452.9013,452.9013,334.9605,452.9013,38.772,270.513,24.12,65.245
T4,2048,16,16384,128,17.0,8,494.5382,494.4664,495.0692,495.0692,494.3212,495.0692,0.2405,270.513,82.79,223.953
T4,2048,32,16384,64,33.0,8,938.0998,904.7166,1166.042,1166.042,902.6513,1166.042,86.2203,270.513,234.44,634.204
