test,L,k,ctx,chunk,steps_observed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,base_k1_ms,penalty_pct,penalty_ms
T4,2048,1,4096,2048,2.0,8,158.3613,157.7139,162.3748,162.3748,156.6605,162.3748,1.7163,157.7139,0.0,0.0
T4,2048,2,4096,1024,3.0,8,170.0204,169.1736,173.5354,173.5354,168.9111,173.5354,1.4948,157.7139,7.27,11.46
T4,2048,4,4096,512,5.0,8,213.6183,189.1868,323.8513,323.8513,187.481,323.8513,46.6079,157.7139,19.96,31.473
T4,2048,8,4096,256,9.0,8,207.0975,207.1174,209.3376,209.3376,205.3079,209.3376,1.349,157.7139,31.32,49.404
T4,2048,16,4096,128,17.0,8,301.6595,279.3925,452.6021,452.6021,278.3326,452.6021,57.0937,157.7139,77.15,121.679
T4,2048,32,4096,64,33.0,8,565.0819,547.1985,674.0838,674.0838,546.2519,674.0838,41.4804,157.7139,246.96,389.485
T4,2048,1,16384,2048,2.0,8,269.9561,270.4347,271.7506,271.7506,267.4541,271.7506,1.4767,270.4347,0.0,0.0
T4,2048,2,16384,1024,3.0,8,294.4528,294.1648,296.1555,296.1555,292.9067,296.1555,1.12,270.4347,8.77,23.73
T4,2048,4,16384,512,5.0,8,337.4962,313.4847,478.3266,478.3266,312.726,478.3266,54.0754,270.4347,15.92,43.05
T4,2048,8,16384,256,9.0,8,334.0769,333.9244,335.2758,335.2758,333.1396,335.2758,0.6586,270.4347,23.48,63.49
T4,2048,16,16384,128,17.0,8,501.1709,491.6512,568.5882,568.5882,491.0563,568.5882,25.4837,270.4347,81.8,221.216
T4,2048,32,16384,64,33.0,8,918.4159,894.6019,1085.0183,1085.0183,894.043,1085.0183,62.9721,270.4347,230.8,624.167
