round,B,ctx,t_since_start_s,free_GiB,graph_capture_len,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms
0,1,1024,0.3,0.86,17000,20,6.5774,6.569,6.6296,6.6415,6.5079,6.6415,0.0344
0,4,4096,1.5,0.77,17000,20,9.2433,9.244,9.3209,9.3345,9.1631,9.3345,0.0533
0,1,8192,2.1,0.77,17000,20,7.6826,7.6804,7.7185,7.7276,7.6382,7.7276,0.0236
0,1,16384,3.3,0.77,17000,20,9.0519,9.0546,9.1074,9.1121,8.991,9.1121,0.0348
1,1,1024,18.5,0.77,17000,20,6.8869,6.8828,6.9193,6.9245,6.872,6.9245,0.0152
1,4,4096,18.9,0.77,17000,20,9.2859,9.2382,9.589,9.6073,9.1182,9.6073,0.1544
1,1,8192,19.1,0.77,17000,20,7.6833,7.6792,7.7051,7.7459,7.656,7.7459,0.0189
1,1,16384,19.5,0.77,17000,20,9.0047,9.0084,9.0403,9.0485,8.9652,9.0485,0.0256
2,1,1024,34.7,0.77,17000,20,6.5746,6.5692,6.6384,6.7376,6.5053,6.7376,0.0535
2,4,4096,35.1,0.77,17000,20,9.2347,9.2261,9.3058,9.339,9.1594,9.339,0.0376
2,1,8192,35.3,0.77,17000,20,7.6964,7.7012,7.7387,7.7459,7.6138,7.7459,0.0344
2,1,16384,35.7,0.77,17000,20,9.0068,9.006,9.057,9.0789,8.951,9.0789,0.0337
3,1,1024,50.9,0.77,17000,20,6.5672,6.5746,6.6063,6.6078,6.5091,6.6078,0.0303
3,4,4096,51.2,0.77,17000,20,9.1869,9.1924,9.2414,9.2616,9.1008,9.2616,0.0441
3,1,8192,51.5,0.77,17000,20,7.6747,7.674,7.7169,7.7299,7.6289,7.7299,0.0304
3,1,16384,51.9,0.77,17000,20,9.0113,9.0069,9.0471,9.0606,8.9572,9.0606,0.024
4,1,1024,67.1,0.77,17000,20,6.8825,6.8804,6.9008,6.9193,6.8713,6.9193,0.0103
4,4,4096,67.5,0.77,17000,20,9.2612,9.1981,9.607,9.6089,9.1225,9.6089,0.1662
4,1,8192,67.7,0.77,17000,20,7.6688,7.663,7.7063,7.7228,7.6112,7.7228,0.0278
4,1,16384,68.1,0.77,17000,20,8.9999,8.996,9.0485,9.0694,8.9477,9.0694,0.0318
5,1,1024,83.3,0.77,17000,20,6.8679,6.8822,6.9091,6.9216,6.7345,6.9216,0.0484
5,4,4096,83.7,0.77,17000,20,9.2,9.1995,9.2426,9.2563,9.1425,9.2563,0.0298
5,1,8192,83.9,0.77,17000,20,7.723,7.723,7.7706,7.7899,7.6703,7.7899,0.0345
5,1,16384,84.3,0.77,17000,20,9.0027,9.015,9.0446,9.051,8.9426,9.051,0.0317
6,1,1024,99.5,2.27,17000,20,6.5402,6.5411,6.6154,6.617,6.4124,6.617,0.0549
6,4,4096,99.9,2.27,17000,20,9.2208,9.2193,9.285,9.2887,9.1514,9.2887,0.0408
6,1,8192,100.1,2.27,17000,20,7.6874,7.6893,7.7315,7.7478,7.6325,7.7478,0.0307
6,1,16384,100.5,2.27,17000,20,9.033,9.0145,9.0872,9.0916,8.9845,9.0916,0.0373
7,1,1024,115.7,2.27,17000,20,6.5542,6.5521,6.6224,6.6303,6.3821,6.6303,0.0571
7,4,4096,116.0,2.27,17000,20,9.2116,9.2164,9.2572,9.2912,9.147,9.2912,0.0417
7,1,8192,116.3,2.27,17000,20,7.7052,7.7124,7.738,7.7488,7.6335,7.7488,0.0304
7,1,16384,116.6,2.27,17000,20,9.0244,9.0209,9.083,9.0901,8.953,9.0901,0.0386
