scenario,N,phase,avg_decode_B,batch_fill_ratio,beat_p50_ms,beat_p99_ms,kv_overflow_step_frac,kv_peak_tokens,miss_rate,miss_rate_sd,step_inflation_vs_ideal,steps,utilisation
S1,1,random,1.0,1.0,35.366,65.448,0.0,3384.6,0.0,0.0,2.7052,462.6,0.0779
S1,2,random,1.0708,0.5354,38.036,74.654,0.0,6772.8,0.0,0.0,5.152,868.0,0.1508
S1,3,random,1.0736,0.3579,39.428,79.276,0.0,10162.8,0.0,0.0,7.6852,1274.6,0.2241
S1,4,random,1.1234,0.2809,42.396,88.986,0.0,13555.4,0.0,0.0,9.8952,1606.8,0.2911
S1,5,random,1.202,0.2404,47.072,100.68,0.0,16951.4,0.0,0.0,11.5316,1847.2,0.3491
S1,6,random,1.2302,0.205,48.62,98.662,0.0,20338.2,0.0,0.0,13.5174,2145.2,0.4123
S1,7,random,1.2178,0.174,48.324,98.058,0.0,23719.4,0.0,0.0,15.8168,2505.0,0.4817
S1,8,random,1.22,0.1525,47.736,99.64,0.0,27109.4,0.0,0.0,17.9626,2850.6,0.5492
S1,9,random,1.2736,0.1415,48.652,98.704,0.0,30486.2,0.0,0.0,19.344,3031.8,0.5959
S1,10,random,1.378,0.1378,50.618,105.54,0.0,33880.2,0.0,0.0,19.8868,3061.0,0.6249
S1,11,random,1.4424,0.1311,52.526,105.612,0.0,37268.0,0.0,0.0,20.9378,3207.2,0.6604
S1,12,random,1.4572,0.1214,53.488,112.444,0.0,40663.2,0.0,0.0,22.5422,3420.0,0.7138
S1,14,random,1.5974,0.1141,57.672,121.356,0.166,47431.2,0.0,0.0,23.98,3609.2,0.7881
S1,16,random,1.8004,0.1125,62.62,131.842,0.4597,54204.0,0.0,0.0,24.3048,3575.8,0.8284
S1,18,random,1.9526,0.1085,63.882,134.502,0.6883,60987.4,0.0,0.0,25.2392,3644.8,0.8676
S1,20,random,2.148,0.1074,68.432,143.58,0.8732,67758.2,0.0,0.0,25.5546,3614.4,0.9029
S1,22,random,2.3288,0.1059,71.874,153.502,1.0,74545.0,0.0,0.0,25.8452,3600.0,0.9376
S1,24,random,2.553,0.1064,75.446,156.55,1.0,81308.8,0.0,0.0,25.6416,3521.6,0.9564
S1,26,random,2.775,0.1067,76.596,161.998,1.0,88086.6,0.0,0.0,25.5788,3463.8,0.9686
S1,28,random,3.0562,0.1092,79.846,170.368,1.0,94884.6,0.0,0.0,25.0814,3350.8,0.9782
S1,30,random,3.3386,0.1113,81.864,176.978,1.0,101660.6,0.0,0.0,24.5906,3229.8,0.9855
S1,32,random,3.698,0.1156,85.386,182.784,1.0,108436.6,0.0,0.0,23.7004,3082.2,0.9875
S1,40,random,5.0472,0.1262,90.93,202.38,1.0,135541.6,0.0,0.0,21.7248,2750.0,0.9944
S1,48,random,6.383,0.133,96.534,214.846,1.0,162615.8,0.0,0.0,20.549,2573.4,1.0
S1,56,random,7.9286,0.1416,101.16,225.508,1.0,189714.6,0.0,0.0,19.2838,2408.2,1.0002
S1,64,random,9.3616,0.1463,104.802,232.906,1.0,216827.6,0.0,0.0,18.6828,2332.8,1.0001
S1,72,random,10.8632,0.1509,108.09,242.238,1.0,243921.2,0.0,0.0,18.1066,2260.2,1.0001
S1,80,random,12.5422,0.1568,112.108,251.238,1.0,271035.8,0.0,0.0,17.4384,2176.6,1.0
S1,88,random,14.2342,0.1618,115.894,257.868,1.0,298137.2,0.0,0.0,16.9068,2110.2,1.0002
S1,96,random,16.0988,0.1677,119.954,268.734,1.0,325252.8,0.0,0.0,16.3248,2037.0,1.0001
S1,112,random,20.1996,0.1804,129.398,289.544,1.0,379441.4,0.0,0.0,15.1704,1893.2,1.0002
S1,128,random,24.868,0.1943,139.386,312.338,1.0,433646.2,0.0,0.0,14.0846,1757.6,1.0002
S1,144,random,30.346,0.2107,151.51,340.704,1.0,487853.0,0.0,0.0,12.9758,1619.4,1.0004
S1,160,random,37.091,0.2318,166.882,376.8,1.0,541903.4,0.0008,0.0002,11.7894,1470.6,1.0001
S1,176,random,45.9602,0.2611,189.462,433.42,1.0,596002.6,0.0051,0.0005,10.4544,1303.8,1.0006
S1,192,random,59.1178,0.3079,225.452,548.162,1.0,649869.8,0.0227,0.0042,8.8742,1104.6,1.0007
S1,1,aligned,1.0,1.0,34.246,65.462,0.0,3387.8,0.0,0.0,2.7264,465.8,0.0782
S1,2,aligned,1.611,0.8055,36.09,71.262,0.0,6775.6,0.0,0.0,3.3808,547.6,0.0912
S1,3,aligned,2.1586,0.7195,37.136,73.44,0.0,10165.2,0.0,0.0,3.7904,598.8,0.0998
S1,4,aligned,2.6958,0.6739,40.028,73.236,0.0,13559.0,0.0,0.0,4.0608,632.6,0.1064
S1,5,aligned,3.1826,0.6365,40.382,76.0,0.0,16952.6,0.0,0.0,4.3104,663.8,0.1129
S1,6,aligned,3.6936,0.6155,41.438,79.278,0.0,20342.2,0.0,0.0,4.4544,681.8,0.1179
S1,7,aligned,4.1706,0.5958,42.294,80.306,0.0,23725.8,0.0,0.0,4.5888,698.6,0.1226
S1,8,aligned,4.6412,0.5801,42.918,80.45,0.0,27113.4,0.0,0.0,4.7088,713.6,0.1272
S1,9,aligned,5.1112,0.5679,43.812,81.334,0.0,30489.8,0.0,0.0,4.7904,723.8,0.1312
S1,10,aligned,5.5672,0.5567,45.068,83.588,0.0,33885.6,0.0,0.0,4.8976,737.2,0.1358
S1,11,aligned,6.0398,0.5491,46.2,85.096,0.0,37272.2,0.0,0.0,4.9632,745.4,0.1396
S1,12,aligned,6.5,0.5417,47.32,87.642,0.0,40669.6,0.0,0.0,5.0416,755.2,0.1438
S1,14,aligned,7.4072,0.5291,49.654,88.636,0.1621,47436.6,0.0,0.0,5.1504,768.8,0.1511
S1,16,aligned,8.1598,0.51,51.728,92.05,0.4612,54214.4,0.0,0.0,5.3424,792.8,0.1596
S1,18,aligned,9.0228,0.5012,54.988,96.13,0.6878,60996.0,0.0,0.0,5.44,805.0,0.1688
S1,20,aligned,9.8158,0.4908,58.066,99.674,0.8774,67766.4,0.0,0.0,5.5504,818.8,0.1778
S1,22,aligned,10.4628,0.4756,61.278,103.218,1.0,74557.0,0.0,0.0,5.7376,842.2,0.1877
S1,24,aligned,11.2476,0.4686,63.828,106.778,1.0,81324.0,0.0,0.0,5.8144,851.8,0.1959
