L,arrival_ms,beat,ctx,done_ms,inject_offset_ms,latency_ms,miss,rel_to_injection_ms,sid
0,13440.0,28,2354,13465.4,0,25.4,0,-1440.0,0
0,13920.0,29,2366,13965.88,0,45.88,0,-960.0,0
0,14400.0,30,2375,14425.41,0,25.41,0,-480.0,0
0,14880.0,31,2384,14905.42,0,25.42,0,0.0,0
0,15360.0,32,2395,15399.09,0,39.09,0,480.0,0
0,15840.0,33,2406,15879.1,0,39.1,0,960.0,0
0,16320.0,34,2418,16365.94,0,45.94,0,1440.0,0
0,16800.0,35,2428,16832.28,0,32.28,0,1920.0,0
0,17280.0,36,2440,17325.97,0,45.97,0,2400.0,0
0,17760.0,37,2455,17826.51,0,66.51,0,2880.0,0
128,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
128,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
128,14880.0,31,2512,14920.4,5,40.4,0,-5.0,0
128,15360.0,32,2523,15399.22,5,39.22,0,475.0,0
128,15840.0,33,2534,15879.23,5,39.23,0,955.0,0
128,16320.0,34,2546,16366.1,5,46.1,0,1435.0,0
128,16800.0,35,2556,16832.39,5,32.39,0,1915.0,0
128,17280.0,36,2568,17326.13,5,46.13,0,2395.0,0
128,17760.0,37,2583,17826.74,5,66.74,0,2875.0,0
128,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
128,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
128,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
128,15360.0,32,2523,15399.22,120,39.22,0,360.0,0
128,15840.0,33,2534,15879.23,120,39.23,0,840.0,0
128,16320.0,34,2546,16366.1,120,46.1,0,1320.0,0
128,16800.0,35,2556,16832.39,120,32.39,0,1800.0,0
128,17280.0,36,2568,17326.13,120,46.13,0,2280.0,0
128,17760.0,37,2583,17826.74,120,66.74,0,2760.0,0
128,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
128,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
128,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
128,15360.0,32,2523,15399.22,240,39.22,0,240.0,0
128,15840.0,33,2534,15879.23,240,39.23,0,720.0,0
128,16320.0,34,2546,16366.1,240,46.1,0,1200.0,0
128,16800.0,35,2556,16832.39,240,32.39,0,1680.0,0
128,17280.0,36,2568,17326.13,240,46.13,0,2160.0,0
128,17760.0,37,2583,17826.74,240,66.74,0,2640.0,0
128,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
128,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
128,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
128,15360.0,32,2523,15399.22,360,39.22,0,120.0,0
128,15840.0,33,2534,15879.23,360,39.23,0,600.0,0
128,16320.0,34,2546,16366.1,360,46.1,0,1080.0,0
128,16800.0,35,2556,16832.39,360,32.39,0,1560.0,0
128,17280.0,36,2568,17326.13,360,46.13,0,2040.0,0
128,17760.0,37,2583,17826.74,360,66.74,0,2520.0,0
128,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
128,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
128,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
128,15360.0,32,2523,15409.07,470,49.07,0,10.0,0
128,15840.0,33,2534,15879.23,470,39.23,0,490.0,0
128,16320.0,34,2546,16366.1,470,46.1,0,970.0,0
128,16800.0,35,2556,16832.39,470,32.39,0,1450.0,0
128,17280.0,36,2568,17326.13,470,46.13,0,1930.0,0
128,17760.0,37,2583,17826.74,470,66.74,0,2410.0,0
256,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
256,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
256,14880.0,31,2640,14925.34,5,45.34,0,-5.0,0
256,15360.0,32,2651,15399.35,5,39.35,0,475.0,0
256,15840.0,33,2662,15879.36,5,39.36,0,955.0,0
256,16320.0,34,2674,16366.26,5,46.26,0,1435.0,0
256,16800.0,35,2684,16832.5,5,32.5,0,1915.0,0
256,17280.0,36,2696,17326.28,5,46.28,0,2395.0,0
256,17760.0,37,2711,17826.98,5,66.98,0,2875.0,0
256,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
256,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
256,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
256,15360.0,32,2651,15399.35,120,39.35,0,360.0,0
256,15840.0,33,2662,15879.36,120,39.36,0,840.0,0
256,16320.0,34,2674,16366.26,120,46.26,0,1320.0,0
256,16800.0,35,2684,16832.5,120,32.5,0,1800.0,0
256,17280.0,36,2696,17326.28,120,46.28,0,2280.0,0
256,17760.0,37,2711,17826.98,120,66.98,0,2760.0,0
256,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
256,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
256,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
256,15360.0,32,2651,15399.35,240,39.35,0,240.0,0
256,15840.0,33,2662,15879.36,240,39.36,0,720.0,0
256,16320.0,34,2674,16366.26,240,46.26,0,1200.0,0
256,16800.0,35,2684,16832.5,240,32.5,0,1680.0,0
256,17280.0,36,2696,17326.28,240,46.28,0,2160.0,0
256,17760.0,37,2711,17826.98,240,66.98,0,2640.0,0
256,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
256,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
256,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
256,15360.0,32,2651,15399.35,360,39.35,0,120.0,0
256,15840.0,33,2662,15879.36,360,39.36,0,600.0,0
256,16320.0,34,2674,16366.26,360,46.26,0,1080.0,0
256,16800.0,35,2684,16832.5,360,32.5,0,1560.0,0
256,17280.0,36,2696,17326.28,360,46.28,0,2040.0,0
256,17760.0,37,2711,17826.98,360,66.98,0,2520.0,0
256,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
256,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
