scenario,L,answer_p50_ms,beat_max_ms,beat_max_sd,beat_p50_ms,beat_p99_ms,deadline_ms,inject_offset_ms,kv_overflow_step_frac,max_lateness_ms,mean_lateness_ms,miss_rate,miss_rate_sd,misses,misses_per_injection,misses_sd,splice_steps_expected,tools
S3,0,,65.162,10.0098,33.772,65.162,480.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
S3,128,44.0,68.202,4.9848,33.862,68.202,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,128,391.366,65.294,10.0396,33.856,65.294,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,128,271.366,65.294,10.0396,33.856,65.294,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,128,151.366,65.294,10.0396,33.856,65.294,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,128,51.22,65.294,10.0396,35.092,65.294,480.0,470,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,256,48.974,69.306,3.9131,33.948,69.306,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,256,391.474,65.428,10.0669,33.942,65.428,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,256,271.474,65.428,10.0669,33.942,65.428,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,256,151.474,65.428,10.0669,33.942,65.428,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,256,56.27,65.564,9.8127,35.156,65.564,480.0,470,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,512,66.782,75.122,5.1243,34.122,75.122,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,512,391.686,65.694,10.1288,34.116,65.694,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,512,271.686,65.694,10.1288,34.116,65.694,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,512,151.686,65.694,10.1288,34.116,65.694,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,512,74.226,69.358,4.3008,35.286,69.358,480.0,470,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,1024,99.042,105.042,7.1458,34.466,105.042,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,1024,392.116,66.228,10.2633,34.46,66.228,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,1024,272.116,66.228,10.2633,34.46,66.228,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,1024,152.116,66.228,10.2633,34.46,66.228,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,1024,106.784,97.784,4.4083,35.544,97.784,480.0,470,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,2048,508.196,67.478,10.5647,35.454,67.478,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,2048,393.196,67.478,10.5647,35.454,67.478,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,2048,273.196,67.478,10.5647,35.454,67.478,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,2048,173.124,68.462,8.9116,36.292,68.462,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,2048,173.124,164.124,4.5065,36.292,164.124,480.0,470,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
S3,3072,509.712,68.886,10.9964,36.67,68.886,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,3072,394.712,68.886,10.9964,36.67,68.886,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,3072,274.712,68.886,10.9964,36.67,68.886,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,3072,265.36,146.36,4.5922,37.2,146.36,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,3072,265.36,256.36,4.5922,37.2,256.36,480.0,470,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,4096,511.23,70.292,11.5306,37.882,70.292,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,4096,396.23,70.292,11.5306,37.882,70.292,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,4096,331.248,92.248,4.681,38.112,92.248,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,4096,331.248,212.248,4.681,38.112,212.248,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,4096,331.248,322.248,4.681,38.112,322.248,480.0,470,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
S3,5120,512.746,71.698,12.1556,38.966,71.698,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,5120,450.256,91.256,4.7638,38.99,91.256,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,5120,450.256,211.256,4.7638,38.99,211.256,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,5120,450.256,331.256,4.7638,38.99,331.256,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,5120,450.256,441.256,4.7638,38.99,441.256,480.0,470,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,6144,576.748,102.748,7.0229,40.424,102.748,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,6144,547.766,188.766,4.8466,40.424,188.766,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,6144,547.766,308.766,4.8466,40.424,308.766,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,6144,547.766,428.766,4.8466,40.424,428.766,480.0,360,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.0
S3,6144,549.396,541.982,5.9845,40.452,541.982,480.0,470,0.0,71.82,61.98,0.0159,0.0,1.0,1.0,0.0,3,1.0
S3,7168,659.414,185.414,7.0411,41.924,185.414,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,1.0
S3,7168,630.43,271.43,4.9324,41.924,271.43,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,1.0
S3,7168,630.43,391.43,4.9324,41.924,391.43,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,1.0
S3,7168,644.954,525.954,6.1115,41.952,525.954,480.0,360,0.0,55.74,45.95,0.0159,0.0,1.0,1.0,0.0,4,1.0
S3,7168,632.308,624.928,6.1662,41.952,624.928,480.0,470,0.0,155.08,144.93,0.0159,0.0,1.0,1.0,0.0,4,1.0
S3,8192,731.222,257.222,7.0621,43.424,257.222,480.0,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,1.0
S3,8192,702.24,343.24,5.0183,43.424,343.24,480.0,120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,1.0
S3,8192,702.24,463.24,5.0183,43.424,463.24,480.0,240,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,1.0
S3,8192,704.366,587.02,6.3479,43.452,587.02,480.0,360,0.0,117.49,107.02,0.0159,0.0,1.0,1.0,0.0,4,1.0
S3,8192,704.366,697.02,6.3479,43.452,697.02,480.0,470,0.0,227.49,217.02,0.0159,0.0,1.0,1.0,0.0,4,1.0
