scenario,L,N,policy,answer_delivery_rate,answer_p50_ms,answer_p99_ms,answer_sd,answers_delivered,beat_p99_ms,blast_hist,cross_miss_fraction,cross_session_misses,effective_density,effective_density_sd,kv_overflow_step_frac,max_blast_sessions,mean_blast_sessions,miss_rate,miss_rate_sd,tools,total_misses,utilisation,wasted_tokens
S3,512,8,whole,0.886,236.604,493.492,44.6441,40.6,118.712,{},0.0,0.0,8.0,0.0,0.0741,0,0,0.0,0.0,45.8,0.0,0.5862,0.0
S3,512,8,chunked,0.886,236.604,493.492,44.6441,40.6,118.712,{},0.0,0.0,8.0,0.0,0.0741,0,0,0.0,0.0,45.8,0.0,0.5862,0.0
S3,512,8,idle,0.886,319.89,574.932,45.3419,40.6,106.096,{},0.0,0.0,8.0,0.0,0.0747,0,0,0.0,0.0,45.8,0.0,0.59,0.0
S3,1024,8,whole,0.886,257.532,507.94,39.5149,40.6,179.538,{},0.0,0.0,8.0,0.0,0.3831,0,0,0.0,0.0,45.8,0.0,0.6165,0.0
S3,1024,8,chunked,0.886,257.532,507.94,39.5149,40.6,179.708,{},0.0,0.0,8.0,0.0,0.383,0,0,0.0,0.0,45.8,0.0,0.6164,0.0
S3,1024,8,idle,0.886,324.8,571.632,44.1265,40.6,142.366,{},0.0,0.0,8.0,0.0,0.3849,0,0,0.0,0.0,45.8,0.0,0.6229,0.0
S3,2048,8,whole,0.882,388.234,796.6,14.8012,40.4,312.896,"{""1"": 4, ""2"": 1, ""3"": 1}",0.4,1.2,8.0,0.0,0.6067,3,1.5,0.0012,0.0016,45.8,1.2,0.6787,0.0
S3,2048,8,chunked,0.882,340.772,760.714,12.4833,40.4,479.49,"{""1"": 8, ""2"": 21, ""3"": 14}",0.7818,8.6,5.4,1.4967,0.6067,3,2.14,0.0088,0.005,45.8,8.8,0.6709,0.0
S3,2048,8,idle,0.882,397.244,829.452,25.6275,40.4,278.08,{},0.0,0.0,8.0,0.0,0.6077,0,0,0.0,0.0,45.8,0.0,0.6809,0.0
S3,4096,8,whole,0.843,817.094,2576.774,198.661,38.6,1393.546,"{""1"": 414, ""2"": 106, ""3"": 20}",0.8983,108.0,0.0,0.0,0.6899,3,1.27,0.1218,0.0427,45.8,120.0,0.794,0.0
S3,4096,8,chunked,0.865,884.478,2308.324,176.6338,39.6,2424.038,"{""1"": 389, ""2"": 365, ""3"": 141, ""4"": 62, ""5"": 10, ""6"": 2}",0.9524,193.8,0.0,0.0,0.6847,6,1.911,0.2077,0.057,45.8,203.4,0.7809,0.0
S3,4096,8,idle,0.834,1053.902,3215.184,165.6154,38.2,450.85,"{""1"": 31}",0.9217,6.2,6.8,1.1662,0.7092,1,1.0,0.0068,0.0045,45.8,6.8,0.8111,0.0
S3,8192,8,whole,0.633,3104.65,14490.422,334.0568,28.6,8896.154,"{""1"": 1232, ""2"": 596, ""3"": 221, ""4"": 30, ""5"": 16, ""6"": 17, ""7"": 2}",0.8512,422.8,0.0,0.0,0.4608,7,1.61,0.5655,0.0467,45.2,497.0,0.9195,0.0
S3,8192,8,chunked,0.715,3585.804,10130.936,571.1133,32.6,11176.872,"{""1"": 628, ""2"": 945, ""3"": 749, ""4"": 280, ""5"": 71, ""6"": 27, ""7"": 12}",0.9766,542.4,0.0,0.0,0.466,7,2.392,0.6587,0.0695,45.6,555.2,0.9107,0.0
S3,8192,8,idle,0.583,4299.128,17297.738,583.0822,26.6,563.6,"{""1"": 193}",0.849,38.6,1.0,1.2649,0.6761,1,1.0,0.0455,0.0101,45.6,45.4,0.9349,0.0
