scenario,L,N,policy,answer_delivery_rate,answer_p50_ms,answer_p99_ms,answer_sd,answers_delivered,beat_p99_ms,blast_hist,cross_miss_fraction,cross_session_misses,effective_density,effective_density_sd,kv_overflow_step_frac,max_blast_sessions,mean_blast_sessions,miss_rate,miss_rate_sd,tools,total_misses,utilisation,wasted_tokens
S3,512,11,whole,0.885,235.376,507.458,19.6183,67.4,136.142,{},0.0,0.0,11.0,0.0,0.5028,0,0,0.0,0.0,76.2,0.0,0.7032,0.0
S3,512,11,chunked,0.885,235.376,507.458,19.6183,67.4,136.142,{},0.0,0.0,11.0,0.0,0.5028,0,0,0.0,0.0,76.2,0.0,0.7032,0.0
S3,512,11,idle,0.885,338.356,670.556,18.263,67.4,114.722,{},0.0,0.0,11.0,0.0,0.5036,0,0,0.0,0.0,76.2,0.0,0.7132,0.0
S3,1024,11,whole,0.885,263.99,553.656,19.7721,67.4,251.064,"{""3"": 1}",0.2,0.2,11.0,0.0,0.6385,3,3.0,0.0001,0.0003,76.2,0.2,0.7399,0.0
S3,1024,11,chunked,0.885,263.724,549.222,19.7691,67.4,247.928,{},0.0,0.0,11.0,0.0,0.6386,0,0,0.0,0.0,76.2,0.0,0.7397,0.0
S3,1024,11,idle,0.877,381.472,767.44,19.1958,66.8,161.968,{},0.0,0.0,11.0,0.0,0.6421,0,0,0.0,0.0,76.2,0.0,0.7554,0.0
S3,2048,11,whole,0.861,472.75,1313.628,3.5012,65.6,551.79,"{""1"": 28, ""2"": 60, ""3"": 11}",1.0,19.8,4.6,3.9294,0.7176,3,1.828,0.0144,0.008,76.2,19.8,0.8148,0.0
S3,2048,11,chunked,0.871,381.478,1295.046,37.7459,66.2,900.02,"{""1"": 19, ""2"": 92, ""3"": 113, ""4"": 47, ""5"": 10}",1.0,56.2,0.4,0.4899,0.7166,5,2.776,0.0413,0.0151,76.0,56.2,0.8027,0.0
S3,2048,11,idle,0.863,486.974,1544.944,15.5174,65.6,324.374,{},0.0,0.0,11.0,0.0,0.7199,0,0,0.0,0.0,76.0,0.0,0.8234,0.0
S3,8192,11,whole,0.415,9160.706,23081.214,7180.9531,31.2,17043.346,"{""1"": 930, ""2"": 791, ""3"": 549, ""4"": 375, ""5"": 198, ""6"": 203, ""7"": 188, ""8"": 58, ""9"": 24, ""10"": 2}",0.7999,663.6,0.0,0.0,0.4101,10,2.979,0.7018,0.0379,75.2,833.2,0.9765,0.0
S3,8192,11,chunked,0.517,7102.14,20576.616,3305.94,39.4,21304.456,"{""1"": 297, ""2"": 394, ""3"": 480, ""4"": 493, ""5"": 543, ""6"": 446, ""7"": 313, ""8"": 222, ""9"": 37}",0.9931,645.0,0.0,0.0,0.4343,9,4.399,0.7313,0.0732,76.2,649.2,0.9618,0.0
S3,8192,11,idle,0.371,9742.034,31085.438,2060.9076,28.2,545.078,"{""1"": 165}",0.9263,33.0,2.6,2.245,0.7672,1,1.0,0.0264,0.0111,76.0,36.2,0.9642,0.0
