[audio] 64 REAL clips from llama-questions
=== SUSTAINED continuous full-duplex: 8 streams, 360s, budget 2000ms ===
        window   ticks   lat p50   lat p99    miss
         0-10s      40       10ms      901ms   0.0%
        10-20s      40        9ms       20ms   0.0%
        20-30s      40        9ms       14ms   0.0%
        30-40s      40       15ms       16ms   0.0%
        40-50s      40        8ms       11ms   0.0%
        50-60s      40       15ms       23ms   0.0%
        60-70s      40       13ms       20ms   0.0%
        70-80s      40        8ms       13ms   0.0%
        80-90s      40        9ms       10ms   0.0%
       90-100s      40        4ms        9ms   0.0%
      100-110s      40       11ms       14ms   0.0%
      110-120s      40       10ms       15ms   0.0%
      120-130s      40       10ms       14ms   0.0%
      130-140s      40        7ms       10ms   0.0%
      140-150s      40        7ms       14ms   0.0%
      150-160s      40        9ms       16ms   0.0%
      160-170s      40       10ms       15ms   0.0%
      170-180s      40        8ms       16ms   0.0%
      180-190s      40        5ms       14ms   0.0%
      190-200s      40       10ms       15ms   0.0%
      200-210s      40        7ms       19ms   0.0%
      210-220s      40        9ms       13ms   0.0%
      220-230s      40        7ms       13ms   0.0%
      230-240s      40       10ms       16ms   0.0%
      240-250s      40       11ms       27ms   0.0%
      250-260s      40       10ms       29ms   0.0%
      260-270s      40        8ms       18ms   0.0%
      270-280s      40       14ms       17ms   0.0%
      280-290s      40       15ms     1601ms   0.0%
      290-300s      40     1603ms     1603ms   0.0%
      300-310s      40     1602ms     1603ms   0.0%
      310-320s      40     1601ms     1602ms   0.0%
      320-330s      40     1602ms     1603ms   0.0%
      330-340s      40     1602ms     1603ms   0.0%
      340-350s      40     1601ms     1603ms   0.0%
      350-360s      40     1602ms     1603ms   0.0%
  OVERALL: ticks=1448 lat p50=11 p90=1602 p99=1603ms miss=0.00% TTFA p50=906ms voice_out_frames=0 err=0
  CADENCE: delivered 101% of frames (181/180 per session) -> real frame period 1989ms vs budget 2000ms => REAL-TIME
  DEGRADATION: first-bucket p99 901ms -> last-bucket p99 1603ms (drift +702ms) DEGRADING
