B,ctx,rate,decode_p50_ms,decode_p99_ms,kappa,bw_eff_gbs,bw_target_gbs,iters
1,4096,0.0,33.4501,35.4007,1.0,0.0,0.0,50
1,4096,0.25,34.3736,36.0888,1.0276,3.037,3.074,50
1,4096,0.5,35.6188,36.523,1.0648,5.946,6.149,50
1,4096,0.75,35.6833,36.3059,1.0668,8.93,9.223,50
1,4096,1.0,35.5492,36.1574,1.0628,12.203,12.298,50
8,4096,0.0,44.5082,45.0068,1.0,0.0,0.0,50
8,4096,0.25,44.8655,45.2391,1.008,3.038,3.074,50
8,4096,0.5,45.0847,45.6233,1.013,5.96,6.149,50
8,4096,0.75,45.524,45.7677,1.0228,8.918,9.223,50
8,4096,1.0,45.7984,45.9028,1.029,12.213,12.298,50
8,16384,0.0,156.714,157.0365,1.0,0.0,0.0,50
8,16384,0.25,157.2588,158.2111,1.0035,3.008,3.074,50
8,16384,0.5,158.1496,158.7825,1.0092,5.936,6.149,50
8,16384,0.75,158.5848,159.446,1.0119,8.681,9.223,50
8,16384,1.0,159.2289,160.17,1.016,12.204,12.298,50
16,8192,0.0,146.8191,148.4544,1.0,0.0,0.0,50
16,8192,0.25,147.4539,149.1066,1.0043,3.004,3.074,50
16,8192,0.5,147.4918,149.9433,1.0046,5.884,6.149,50
16,8192,0.75,148.4523,150.0948,1.0111,8.827,9.223,50
16,8192,1.0,148.6531,150.4184,1.0125,11.979,12.298,50
