Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[audio] 64 REAL clips from llama-questions
=== SUSTAINED continuous full-duplex: 2 streams, 300s, budget 2000ms ===
        window   ticks   lat p50   lat p99    miss
         0-10s      10        0ms      832ms   0.0%
        10-20s      10        0ms        0ms   0.0%
        20-30s      10        0ms        0ms   0.0%
        30-40s      10        0ms        0ms   0.0%
        40-50s      10        0ms        0ms   0.0%
        50-60s      10        0ms        0ms   0.0%
        60-70s      10        0ms        0ms   0.0%
        70-80s      10        0ms        0ms   0.0%
        80-90s      10        0ms        0ms   0.0%
       90-100s      10        0ms        0ms   0.0%
      100-110s      10        0ms        0ms   0.0%
      110-120s      10        0ms        0ms   0.0%
      120-130s      10        0ms        0ms   0.0%
      130-140s      10        0ms        0ms   0.0%
      140-150s      10        0ms        0ms   0.0%
      150-160s      10        0ms        0ms   0.0%
      160-170s      10        0ms        0ms   0.0%
      170-180s      10        0ms        0ms   0.0%
      180-190s      10        0ms        0ms   0.0%
      190-200s      10        0ms        0ms   0.0%
      200-210s      10        0ms        0ms   0.0%
      210-220s      10        0ms        0ms   0.0%
      220-230s      10        0ms        0ms   0.0%
      230-240s      10        0ms        0ms   0.0%
      240-250s      10        0ms        0ms   0.0%
      250-260s      10        0ms        0ms   0.0%
      260-270s      10        0ms        0ms   0.0%
      270-280s      10        0ms        0ms   0.0%
      280-290s      10        0ms        0ms   0.0%
      290-300s      10        0ms        1ms   0.0%
  OVERALL: ticks=300 lat p50=0 p90=0 p99=1ms miss=0.00% TTFA p50=836ms voice_out_frames=0 err=0
  CADENCE: delivered 100% of frames (150/150 per session) -> real frame period 2000ms vs budget 2000ms => REAL-TIME
  DEGRADATION: first-bucket p99 832ms -> last-bucket p99 1ms (drift -831ms) STABLE
