Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[audio] 64 REAL clips from llama-questions
=== SUSTAINED continuous full-duplex: 6 streams, 600s, budget 2000ms ===
        window   ticks   lat p50   lat p99    miss
         0-10s      30        0ms     1601ms   0.0%
        10-20s      30        0ms        1ms   0.0%
        20-30s      30        0ms        1ms   0.0%
        30-40s      30        0ms        1ms   0.0%
        40-50s      30        0ms        1ms   0.0%
        50-60s      30        0ms        0ms   0.0%
        60-70s      30        0ms        0ms   0.0%
        70-80s      30        0ms        1ms   0.0%
        80-90s      30        0ms        0ms   0.0%
       90-100s      30        0ms        1ms   0.0%
      100-110s      30        0ms        0ms   0.0%
      110-120s      30        0ms        1ms   0.0%
      120-130s      30        0ms        1ms   0.0%
      130-140s      30        0ms        1ms   0.0%
      140-150s      30        0ms        1ms   0.0%
      150-160s      30        1ms        1ms   0.0%
      160-170s      30        0ms        1ms   0.0%
      170-180s      30        0ms        1ms   0.0%
      180-190s      30        0ms        1ms   0.0%
      190-200s      30        0ms        1ms   0.0%
      200-210s      30        0ms        1ms   0.0%
      210-220s      30        0ms        1ms   0.0%
      220-230s      30        1ms        1ms   0.0%
      230-240s      30        0ms        1ms   0.0%
      240-250s      30        0ms        0ms   0.0%
      250-260s      30        0ms        0ms   0.0%
      260-270s      30        0ms        0ms   0.0%
      270-280s      30        0ms        0ms   0.0%
      280-290s      30        1ms        1ms   0.0%
      290-300s      30        0ms        0ms   0.0%
      300-310s      30        0ms        0ms   0.0%
      310-320s      30        0ms        1ms   0.0%
      320-330s      30        0ms        1ms   0.0%
      330-340s      30        0ms        0ms   0.0%
      340-350s      30        0ms        1ms   0.0%
      350-360s      30        0ms        1ms   0.0%
      360-370s      30        1ms        1ms   0.0%
      370-380s      30        0ms        1ms   0.0%
      380-390s      30        1ms     1601ms   0.0%
      390-400s      30        1ms        1ms   0.0%
      400-410s      30        1ms        1ms   0.0%
      410-420s      30        1ms        1ms   0.0%
      420-430s      30        1ms        1ms   0.0%
      430-440s      30        1ms        1ms   0.0%
      440-450s      30        1ms        1ms   0.0%
      450-460s      30        0ms        1ms   0.0%
      460-470s      30        1ms        1ms   0.0%
      470-480s      30        1ms        1ms   0.0%
      480-490s      30        1ms        1ms   0.0%
      490-500s      30        1ms        1ms   0.0%
      500-510s      30        1ms        1ms   0.0%
      510-520s      30        1ms        1ms   0.0%
      520-530s      30        1ms        1ms   0.0%
      530-540s      30        1ms        1ms   0.0%
      540-550s      30        1ms        1ms   0.0%
      550-560s      30        1ms        1ms   0.0%
      560-570s      30        1ms        1ms   0.0%
      570-580s      30        1ms        1ms   0.0%
      580-590s      30        1ms        1ms   0.0%
      590-600s      30        1ms        1ms   0.0%
  OVERALL: ticks=1806 lat p50=0 p90=1 p99=1ms miss=0.00% TTFA p50=6ms voice_out_frames=0 err=0
  CADENCE: delivered 100% of frames (301/300 per session) -> real frame period 1993ms vs budget 2000ms => REAL-TIME
  DEGRADATION: first-bucket p99 1601ms -> last-bucket p99 1ms (drift -1600ms) STABLE
