batch,total_kv,n_new,p50_ms,p99_ms,mean_ms,reps
1,512,64,16.63382,19.48381,16.12719,40
1,2048,64,18.39386,22.28307,18.0056,40
1,8192,64,22.88026,23.03254,21.41385,40
2,1024,64,19.30509,23.8264,19.10458,40
2,4096,64,20.15043,26.4424,19.87752,40
2,16384,64,23.49418,27.9384,23.42832,40
4,2048,64,26.05206,27.47014,26.29427,40
4,8192,64,31.00544,35.47206,29.93738,40
4,32768,64,34.43325,36.73763,33.53842,40
8,4096,64,36.74429,44.77843,36.61962,40
8,16384,64,40.63837,43.92867,40.22882,40
8,65536,64,53.62838,62.51603,54.90793,40
