batch,total_kv,n_new,p50_ms,p99_ms,mean_ms,reps
1,512,2,13.00198,17.54998,13.15426,40
1,2048,2,13.75667,18.19258,14.99171,40
1,4096,2,16.53402,18.84083,15.24866,40
2,1024,2,15.39437,17.84054,14.34653,40
2,4096,2,14.44525,18.76768,15.7579,40
2,8192,2,18.75686,22.51133,18.96005,40
4,2048,2,15.77683,18.07002,14.68871,40
4,8192,2,18.73626,22.53085,18.49121,40
4,16384,2,22.57056,27.40048,22.55136,40
8,4096,2,14.3608,18.72234,15.60324,40
8,16384,2,22.89594,27.42259,22.48448,40
8,32768,2,33.27955,35.4463,32.38305,40
