batch,total_kv,n_new,p50_ms,p99_ms,mean_ms,reps
1,512,25,10.23258,10.83722,9.24053,40
1,2048,25,11.26125,13.59139,10.95837,40
1,8192,25,14.43901,14.56762,11.5431,40
2,1024,25,14.55347,14.71178,11.77422,40
2,4096,25,13.33747,17.65379,13.55914,40
2,16384,25,15.47597,19.60877,16.13248,40
4,2048,25,12.9161,14.6487,12.00428,40
4,8192,25,13.49619,17.85981,14.56669,40
4,32768,25,21.808,26.55482,21.5417,40
8,4096,25,17.24208,22.05795,17.14265,40
8,16384,25,19.38883,23.8977,20.24437,40
8,65536,25,40.54771,41.29661,37.60333,40
