batch,total_kv,n_new,p50_ms,p99_ms,mean_ms,reps
1,512,64,11.42723,12.78182,11.55472,60
1,2048,64,12.76938,20.48102,12.97688,60
1,8192,64,13.18547,15.04317,13.33386,60
2,1024,64,13.91917,15.53482,13.99185,60
2,4096,64,13.60378,14.59917,13.66672,60
2,16384,64,15.32211,16.74723,15.35181,60
4,2048,64,17.75971,19.7241,17.96102,60
4,8192,64,19.4831,22.23235,19.73511,60
4,32768,64,22.45392,26.31306,22.7033,60
8,4096,64,24.95472,28.908,25.22965,60
8,16384,64,26.00915,28.00752,26.14751,60
8,65536,64,38.06083,69.84489,43.22032,60
