batch,total_kv,n_new,p50_ms,p99_ms,mean_ms,reps
1,512,2,9.39997,10.48144,9.48904,60
1,2048,2,10.14576,11.8417,10.31012,60
1,4096,2,10.39117,11.3463,10.43495,60
2,1024,2,9.83827,12.37219,9.98083,60
2,4096,2,10.66266,11.53312,10.70732,60
2,8192,2,11.69331,12.75267,11.77291,60
4,2048,2,9.64906,10.32573,9.65694,60
4,8192,2,12.09984,12.92976,12.08579,60
4,16384,2,15.58298,18.23347,15.92338,60
8,4096,2,10.40781,11.23546,10.51532,60
8,16384,2,14.78432,15.98845,14.84561,60
8,32768,2,21.92061,24.9265,22.03632,60
