batch,total_kv,n_new,p50_ms,p99_ms,mean_ms,reps
1,512,25,7.58874,7.83552,7.42388,60
1,2048,25,8.73562,9.10019,8.56607,60
1,8192,25,9.85725,10.2632,9.62972,60
2,1024,25,9.91946,10.22998,9.70717,60
2,4096,25,11.19053,11.44003,10.76904,60
2,16384,25,13.1912,13.45133,12.91348,60
4,2048,25,9.92954,14.68112,10.07632,60
4,8192,25,11.50781,11.6559,11.20862,60
4,32768,25,16.912,17.13904,16.5987,60
8,4096,25,14.00298,14.37011,13.57044,60
8,16384,25,15.97782,20.84234,16.11538,60
8,65536,25,25.76179,34.32291,26.03623,60
