N,L,total_kv,meas_p50,meas_p99,meas_p999,pred
1,0,0,16.7567,19.2278,19.2278,11.4854
1,1170,1170,16.2671,19.5776,19.5776,11.7213
1,2340,2340,18.4498,20.9121,20.9121,11.9572
1,3510,3510,18.536,22.328,22.328,12.1931
1,4681,4681,16.5807,22.2751,22.2751,12.4292
1,5851,5851,19.1567,22.3679,22.3679,12.6651
1,7021,7021,18.9954,22.8722,22.8722,12.901
1,8192,8192,19.7008,21.6949,21.6949,13.1371
4,0,0,25.8465,31.6913,31.6913,16.8133
4,1170,4680,28.4627,30.4445,30.4445,17.7568
4,2340,9360,29.1663,35.449,35.449,18.7004
4,3510,14040,29.9763,31.1728,31.1728,19.644
4,4681,18724,30.6547,36.7146,36.7146,20.5884
4,5851,23404,33.4287,39.8033,39.8033,21.532
4,7021,28084,33.0227,40.3108,40.3108,22.4756
4,8192,32768,33.7613,34.8158,34.8158,23.4199
8,0,0,34.0998,41.2584,41.2584,23.917
8,1170,9360,38.1158,39.6057,39.6057,25.8042
8,2340,18720,41.699,49.2473,49.2473,27.6913
8,3510,28080,42.9343,50.3286,50.3286,29.5785
8,4681,37448,45.4563,54.0821,54.0821,31.4673
8,5851,46808,46.946,57.5182,57.5182,33.3545
8,7021,56168,48.5083,56.3689,56.3689,35.2416
8,8192,65536,50.2785,55.8972,55.8972,37.1304
16,0,0,64.0081,69.9327,69.9327,38.1245
16,1170,18720,70.9398,88.0892,88.0892,41.8989
16,2340,37440,78.6523,82.2015,82.2015,45.6732
16,3510,56160,83.5023,89.7969,89.7969,49.4475
16,4681,74896,91.5469,107.4824,107.4824,53.2251
