N,L,total_kv,meas_p50,meas_p99,meas_p999,pred
1,0,0,9.7229,14.9759,14.9759,9.0733
1,146,146,10.8024,15.0962,15.0962,9.1312
1,292,292,10.588,15.1297,15.1297,9.1892
1,438,438,10.1365,15.1307,15.1307,9.2472
1,585,585,11.9193,15.238,15.238,9.3055
1,731,731,11.5883,17.6164,17.6164,9.3635
1,877,877,12.1926,17.652,17.652,9.4215
1,1024,1024,14.3138,17.8071,17.8071,9.4798
4,0,0,13.4574,14.9867,14.9867,8.8964
4,146,584,13.5166,15.2079,15.2079,9.1282
4,292,1168,12.2273,17.785,17.785,9.3601
4,438,1752,14.1979,17.945,17.945,9.592
4,585,2340,14.4343,18.1296,18.1296,9.8255
4,731,2924,16.0161,18.3453,18.3453,10.0574
4,877,3508,14.5922,18.4674,18.4674,10.2893
4,1024,4096,15.0736,18.6292,18.6292,10.5227
8,0,0,8.9959,15.073,15.073,8.6605
8,146,1168,14.123,17.9417,17.9417,9.1243
8,292,2336,14.8229,18.1949,18.1949,9.588
8,438,3504,15.083,18.4897,18.4897,10.0518
8,585,4680,15.5054,18.9162,18.9162,10.5188
8,731,5848,15.8192,19.2444,19.2444,10.9825
8,877,7016,16.1981,21.8509,21.8509,11.4463
8,1024,8192,18.8003,22.4804,22.4804,11.9132
16,0,0,14.6201,18.0863,18.0863,8.1888
16,146,2336,18.722,18.8219,18.8219,9.1163
16,292,4672,15.4269,19.4918,19.4918,10.0439
16,438,7008,18.2999,22.5514,22.5514,10.9714
16,585,9360,21.1006,23.5721,23.5721,11.9053
16,731,11696,21.3763,24.6194,24.6194,12.8328
16,877,14032,21.2316,27.1586,27.1586,13.7603
16,1024,16384,21.9136,26.1996,26.1996,14.6942
