N,L,total_kv,meas_p50,meas_p99,meas_p999,pred
1,0,0,9.0609,10.6621,10.6621,8.5127
1,292,292,9.5772,10.7847,10.7847,8.5712
1,585,585,9.43,13.1807,13.1807,8.63
1,877,877,12.004,13.3978,13.3978,8.6886
1,1170,1170,9.2493,13.3988,13.3988,8.7473
1,1462,1462,10.7818,13.4164,13.4164,8.8059
1,1755,1755,11.5969,13.5277,13.5277,8.8647
1,2048,2048,9.5875,13.4955,13.4955,8.9235
4,0,0,11.718,12.0945,12.0945,10.3374
4,292,1168,10.0012,14.2949,14.2949,10.5717
4,585,2340,10.3519,14.635,14.635,10.8068
4,877,3508,11.0472,14.9567,14.9567,11.0411
4,1170,4680,13.4398,15.0032,15.0032,11.2762
4,1462,5848,14.378,17.8747,17.8747,11.5105
4,1755,7020,13.9075,16.8824,16.8824,11.7455
4,2048,8192,14.258,17.8131,17.8131,11.9806
8,0,0,15.0914,18.6186,18.6186,12.7705
8,292,2336,15.8459,19.2533,19.2533,13.239
8,585,4680,18.5411,22.1813,22.1813,13.7092
8,877,7016,18.0874,22.4434,22.4434,14.1778
8,1170,9360,18.3698,22.7743,22.7743,14.6479
8,1462,11696,18.7127,23.0241,23.0241,15.1165
8,1755,14040,18.9793,23.4072,23.4072,15.5867
8,2048,16384,21.4483,22.6322,22.6322,16.0568
16,0,0,17.5576,22.044,22.044,17.6365
16,292,4672,21.551,26.5106,26.5106,18.5737
16,585,9360,24.7519,30.9237,30.9237,19.514
16,877,14032,26.41,32.4493,32.4493,20.4511
16,1170,18720,29.925,35.8415,35.8415,21.3915
16,1462,23392,29.8857,30.3596,30.3596,22.3286
16,1755,28080,33.9199,40.8795,40.8795,23.2689
16,2048,32768,37.6139,44.5388,44.5388,24.2093
