model,budget_ms,N,p50_ms,p90_ms,p99_ms,miss,frame_deliv,served
moshi,80,8,52.8,53.0,53.2,0.0029,0.913,1
moshi,80,16,52.8,53.0,53.2,0.0,0.992,1
moshi,80,20,52.8,53.0,53.2,0.0,0.397,1
moshi,80,24,,,,,,0
moshi,80,32,,,,,,0
minicpm-4.5,1000,1,278.0,284.9,301.8,0.0,0.987,1
minicpm-4.5,1000,2,296.8,316.7,317.4,0.0,0.987,1
minicpm-4.5,1000,4,318.0,352.7,352.8,0.0,0.987,1
minicpm-4.5,1000,8,361.9,417.9,419.1,0.0,1.0,1
minicpm-4.5,1000,16,440.8,495.0,553.9,0.0,0.987,1
minicpm-4.5,1000,32,611.6,676.5,801.0,0.0,0.997,1
minicpm-4.5,1000,48,743.7,812.6,945.4,0.0,0.993,1
minicpm-4.5,1000,64,875.2,989.5,1090.5,0.0814,0.983,1
minicpm-4.5,1000,96,1106.8,1170.2,1279.2,0.9924,0.877,1
minicpm-4.5,1000,128,1345.3,1395.3,1454.5,0.9862,0.723,1
qwen3-30b,2000,1,142.9,143.8,147.7,0.0,1.013,1
qwen3-30b,2000,2,196.9,200.5,212.8,0.0,0.987,1
qwen3-30b,2000,4,230.2,241.3,258.7,0.0,1.013,1
qwen3-30b,2000,8,294.8,312.1,324.9,0.0,0.987,1
qwen3-30b,2000,16,381.1,391.1,401.0,0.0,0.987,1
qwen3-30b,2000,32,462.0,500.3,538.1,0.0,0.993,1
qwen3-30b,2000,64,649.7,706.8,780.4,0.0,0.993,1
qwen3-30b,2000,128,922.4,1025.9,1057.9,0.0,0.987,1
qwen3-30b,2000,256,1405.9,1472.4,1566.2,0.0,0.987,1
qwen3-30b,2000,320,1682.9,1754.8,1971.5,0.0,0.983,1
qwen3-30b,2000,384,1915.7,2031.2,2056.4,0.1667,0.96,1
qwen3-30b,2000,512,2424.9,2586.1,2755.0,1.0,0.756,1
qwen2.5-7b-vllm,2000,1,351.6,398.6,423.0,0.0,0.987,1
qwen2.5-7b-vllm,2000,8,994.2,1027.8,1039.8,0.0,0.987,1
qwen2.5-7b-vllm,2000,12,1286.6,1361.0,1475.0,0.0,0.96,1
qwen2.5-7b-vllm,2000,16,1653.0,1686.0,1768.3,0.0,0.973,1
qwen2.5-7b-vllm,2000,24,2425.8,2512.4,2545.9,0.6667,0.84,1
qwen2.5-7b-vllm,2000,32,2696.7,3021.6,3155.5,1.0,0.72,1
qwen2.5-7b-vllm,2000,64,5164.4,5324.8,5384.9,0.9825,0.38,1
qwen2.5-7b-vllm,2000,128,9015.2,11244.4,11244.4,1.0,0.187,1
qwen2.5-7b-vllm,2000,192,15609.7,17135.0,17135.0,1.0,0.113,1
qwen2.5-7b-vllm,2000,256,21959.7,23684.8,23684.8,1.0,0.08,1
